epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
1,87.09175739,87.0695401,98.51,68.66251944,11.11975117,98.38
2,95.35658743,95.08998,99.01,78.77138414,17.31837369,98.9
3,96.72295046,96.5785381,99.16,72.7282826,13.56365252,98.79
4,92.92379471,92.87936014,98.98,76.69406798,14.10797601,99.25
5,97.22283937,97.03399245,99.2,73.89469007,12.98600311,98.98
6,97.37836036,97.27838258,99.17,78.28260387,17.5294379,99.32
7,97.7782715,97.67829371,99.28,79.43790269,17.7627194,99.35
8,97.78938014,97.55609864,99.29,74.19462342,16.97400578,99.42
9,97.9893357,97.6227505,99.18,66.30748723,13.93023772,99.14
10,97.85603199,97.53388136,99.17,77.39391246,17.39613419,99.5
11,98.11153077,97.92268385,99.34,76.88291491,17.25172184,99.36
12,98.33370362,98.12263941,99.29,74.61675183,18.17373917,99.48
13,98.05598756,97.68940236,99.17,70.83981337,12.74161297,99.52
14,98.2226172,97.94490113,99.13,74.30570984,18.79582315,99.53
15,97.91157521,97.57831593,99.17,74.49455677,17.74050211,99.56
16,98.41146412,98.0670962,99.23,79.56009776,21.5507665,99.54
17,98.02266163,97.47833815,99.18,79.54898911,21.52854921,99.53
18,97.50055543,97.15618751,99.14,75.93868029,14.81892913,99.49
19,98.10042213,97.84492335,99.11,71.15085537,17.0850922,99.49
20,96.93401466,96.48966896,99.24,71.5507665,15.45212175,99.27
21,98.28926905,97.82270607,99.23,72.78382582,15.05221062,99.42
22,98.17818263,97.68940236,99.24,78.71584092,14.76338591,99.35
23,98.2226172,97.66718507,99.22,70.52877138,12.36391913,99.53
24,97.9893357,97.55609864,99.23,79.74894468,15.17440569,99.39
25,97.93379249,97.40057765,99.13,74.97222839,15.55209953,99.43
26,97.91157521,97.58942457,99.12,72.56165297,17.41835148,99.37
27,98.38924683,97.72272828,99.28,71.77293935,13.35258831,99.38
28,97.94490113,97.44501222,99.28,79.4156854,12.0417685,99.44
29,97.96711842,97.34503444,99.17,78.74916685,15.55209953,99.52
30,97.88935792,97.54499,99.13,76.83848034,16.57409465,99.51
31,98.12263941,97.64496778,99.24,75.53876916,14.67451677,99.54
32,98.04487892,97.52277272,99.1,72.47278383,15.3854699,99.55
33,98.01155299,97.14507887,99.27,74.88335925,12.73050433,99.5
34,98.31148634,97.47833815,99.23,73.46145301,13.31926239,99.52
35,97.85603199,97.47833815,99.13,79.22683848,15.91868474,99.55
36,97.74494557,97.13397023,99.07,70.41768496,17.99600089,99.56
37,97.97822706,96.44523439,99.21,79.39346812,15.77427238,99.5
38,97.76716285,96.83403688,98.92,76.78293713,15.85203288,99.44
39,97.73383693,96.6562986,99.05,76.29415685,17.79604532,99.6
40,97.76716285,96.82292824,99.13,80.14885581,16.30748723,99.47
41,97.7782715,97.13397023,99.05,71.07309487,11.43079316,99.56
42,97.81159742,97.1006443,99.18,75.76094201,13.38591424,99.57
43,97.82270607,96.2119529,99.1,75.44990002,18.82914908,99.52
44,97.9893357,97.27838258,99.12,74.71672962,17.41835148,99.48
45,97.61164186,96.60075539,99.12,74.32792713,13.26371917,99.49
46,97.68940236,96.93401466,99.16,73.55032215,16.10753166,99.55
47,97.96711842,96.87847145,99.16,76.11641857,16.25194401,99.59
48,97.65607643,96.74516774,99.07,73.56143079,11.58631415,99.47
49,98.03377027,97.22283937,99.15,78.69362364,19.81781826,99.49
50,98.03377027,96.95623195,99.15,70.28438125,11.87513886,99.5
51,97.56720729,96.15640969,99.08,70.08442568,11.35303266,99.33
52,97.71161964,96.60075539,99.07,67.2406132,12.59720062,99.63
53,97.81159742,96.90068874,99.02,79.69340147,16.47411686,99.37
54,97.95600978,97.1784048,99.08,77.30504332,12.95267718,99.62
55,98.02266163,97.12286159,99.16,71.36191957,11.25305488,99.56
56,97.93379249,97.08953566,99.11,72.33948012,9.742279493,99.48
57,97.700511,96.7340591,99.1,73.39480116,12.30837592,99.47
58,97.85603199,96.61186403,99.18,75.7831593,16.37413908,99.53
59,98.0670962,97.21173073,99.12,74.50566541,11.56409687,99.41
60,97.88935792,96.78960231,99.18,68.47367252,7.864918907,99.54
61,97.75605421,97.03399245,99.05,75.94978894,16.69628971,99.54
62,97.87824928,97.07842702,99.12,78.09375694,14.56343035,99.4
63,98.20039991,97.03399245,99.16,75.56098645,15.44101311,99.47
64,97.76716285,97.06731837,99.06,75.99422351,12.47500555,99.53
65,97.83381471,97.08953566,99.11,71.29526772,12.4861142,99.56
66,97.75605421,96.78960231,99.19,68.07376139,12.63052655,99.49
67,97.86714064,97.38946901,99.14,75.71650744,12.73050433,99.45
68,97.73383693,96.66740724,99,76.23861364,13.59697845,99.61
69,97.87824928,96.97844923,99.17,73.6947345,12.4861142,99.49
70,97.91157521,96.37858254,99.09,72.31726283,12.80826483,99.5
71,97.35614308,96.17862697,99.08,75.27216174,11.17529438,99.6
72,98.1448567,97.15618751,99.22,67.78493668,11.41968451,99.53
73,97.83381471,97.1006443,99.03,74.70562097,11.39746723,99.64
74,97.81159742,96.93401466,99.08,74.11686292,9.442346145,99.57
75,97.14507887,95.14552322,98.89,78.682515,13.94134637,99.67
76,97.81159742,97.07842702,99.12,67.79604532,8.820262164,99.47
77,97.700511,96.92290602,99.2,74.8167074,13.48589202,99.52
78,97.58942457,96.76738503,99,75.93868029,13.2192846,99.54
79,97.73383693,96.58964675,99.05,79.68229282,10.98644746,99.5
80,97.74494557,96.43412575,99.09,77.83825816,12.4861142,99.59
81,96.88958009,95.70095534,99.03,76.04976672,10.46434126,99.57
82,97.72272828,96.76738503,99.01,74.6611864,12.4083537,99.48
83,97.75605421,96.68962453,99.1,74.26127527,9.620084426,99.57
84,97.30059987,96.58964675,99,72.15063319,11.63074872,99.44
85,97.36725172,96.31193068,98.98,73.51699622,12.54165741,99.58
86,97.26727394,95.12330593,99.1,78.39369029,14.09686736,99.58
87,97.82270607,95.87869362,99.18,78.40479893,13.88580315,99.54
88,97.28949122,94.99000222,99.01,74.32792713,8.742501666,99.6
89,97.66718507,96.6562986,99.07,72.18395912,9.608975783,99.6
90,97.45612086,96.56742946,98.95,75.69429016,10.86425239,99.51
91,97.36725172,96.03421462,99.03,72.42834926,10.28660298,99.62
92,97.58942457,96.46745168,99.09,68.52921573,10.45323261,99.6
93,97.0228838,95.92312819,98.97,77.17173961,12.09731171,99.55
94,97.65607643,97.14507887,98.98,73.37258387,10.59764497,99.52
95,97.75605421,96.30082204,99.08,75.43879138,12.38613641,99.49
96,97.23394801,95.6120862,98.97,74.02799378,11.55298822,99.53
97,97.43390358,94.92335037,99,76.76071984,9.564541213,99.59
98,97.68940236,96.38969118,99.05,78.4492335,10.6309709,99.52
99,97.80048878,96.78960231,99.07,77.78271495,11.91957343,99.57
100,97.60053321,96.44523439,99.03,70.23994668,9.253499222,99.55